ObjectID,GlobalID,Latitude_y,Longitude_x,Elevation_z,HorizontalA,What is the species name of your tree?,tree_type_calc,Tree Type:,nativity_calc,Tree Status:,Rate the observed health of the tree:,Percent estimate of canopy deadwood?,Estimate the Height of the tree (m):,Estimate the width of the canopy (m):,calc_dbh,Select any tree flags,Any additional comments?,CreationDate,Creator,EditDate,Editor,x,y
16,3d09e2eb-f856-4fe3-afb8-6e83c26cd9f7,43.1883939094649,-79.5531709787769,99.7342673800886,4.76317749656643,White oak,Deciduous,Deciduous,Native,Native,1,5,45,5,318.309891613572,tree_flag_9,growth of another tree (maple) directly beside that looks to have some health issues ,11/1/2023 7:16:22 PM,chnevi@flemingcollege.ca_Fleming,11/1/2023 7:16:22 PM,chnevi@flemingcollege.ca_Fleming,-79.5531709787769,43.1883939094649
17,1a41d13e-5374-480f-857b-25d04509ef63,43.1885872660856,-79.5528862452577,101.404337384738,4.75687007960275,Tulip-tree,Deciduous,Deciduous,Native,Native,2,15,5,2,44.5633848259001,tree_flag_9,,11/1/2023 7:22:05 PM,chnevi@flemingcollege.ca_Fleming,11/1/2023 7:22:05 PM,chnevi@flemingcollege.ca_Fleming,-79.5528862452577,43.1885872660856
18,4bd7c89a-6d15-44fe-8245-fbe3d63335dc,43.1885104337347,-79.5527859748872,100.309627600946,4.76043079274749,Horsechestnut,Deciduous,Deciduous,Naturalized,Naturalized,3,80,4,4,7.9577472903393,tree_flag_2,,11/1/2023 7:24:15 PM,chnevi@flemingcollege.ca_Fleming,11/1/2023 7:24:15 PM,chnevi@flemingcollege.ca_Fleming,-79.5527859748872,43.1885104337347
19,3a5af5af-54d8-4a70-a8cf-a766f8777426,43.1879708632922,-79.5527348624471,99.8260312639177,4.73516885652481,Horsechestnut,Deciduous,Deciduous,Naturalized,Naturalized,1,75,15,8,27.6929605703808,tree_flag_9,,11/1/2023 7:31:50 PM,chnevi@flemingcollege.ca_Fleming,11/1/2023 7:31:50 PM,chnevi@flemingcollege.ca_Fleming,-79.5527348624471,43.1879708632922
20,2d847d2c-c8ca-48b4-99ee-ec2c76e7f224,43.1876379976128,-79.5529367995473,100.54059352167,4.74908241380076,Sugar maple,Deciduous,Deciduous,Native,Native,1,60,11,8,30.8760594865165,tree_flag_8,,11/1/2023 7:37:34 PM,chnevi@flemingcollege.ca_Fleming,11/1/2023 7:37:34 PM,chnevi@flemingcollege.ca_Fleming,-79.5529367995473,43.1876379976128
21,e66a432f-d35e-41bd-b5da-0af066ce8022,43.187666747727,-79.55308404038,101.486472111195,4.73383504555532,Silver maple,Deciduous,Deciduous,Native,Native,1,60,40,15,35.0140880774929,tree_flag_9,,11/1/2023 7:41:54 PM,chnevi@flemingcollege.ca_Fleming,11/1/2023 7:41:54 PM,chnevi@flemingcollege.ca_Fleming,-79.55308404038,43.187666747727
22,15d32984-3a78-409a-b9d6-c213da39a77a,43.1876575655778,-79.5532167140131,101.64535641484,4.73315439040178,White spruce,Conifer,Conifer,Native,Native,3,40,50,20,45.8366243923544,"tree_flag_2,tree_flag_4",,11/1/2023 7:47:52 PM,chnevi@flemingcollege.ca_Fleming,11/1/2023 7:47:52 PM,chnevi@flemingcollege.ca_Fleming,-79.5532167140131,43.1876575655778
23,31c1d845-55be-49fe-b991-535bb62dabcc,43.1866614958062,-79.5529338449115,105.154685706832,4.73903028687183,Eastern white pine,Conifer,Conifer,Native,Native,1,0,4,1,5.41126815743073,tree_flag_9,young tree ,11/1/2023 8:12:27 PM,chnevi@flemingcollege.ca_Fleming,11/1/2023 8:12:27 PM,chnevi@flemingcollege.ca_Fleming,-79.5529338449115,43.1866614958062
24,0c7277a5-36f1-4cf3-b9bd-c565a5cfd430,43.1867187847482,-79.5530361680284,104.754458731972,4.74154925131565,Sycamore maple,Deciduous,Deciduous,Introduced,Introduced,1,5,5,1,3.18309891613572,tree_flag_9,young tree,11/1/2023 8:14:02 PM,chnevi@flemingcollege.ca_Fleming,11/1/2023 8:14:02 PM,chnevi@flemingcollege.ca_Fleming,-79.5530361680284,43.1867187847482
25,eb0246f9-a359-44a7-a125-2efa3ada7ddc,43.1868141371672,-79.553125045645,104.945885348134,4.74323662695816,Honey-locust,Deciduous,Deciduous,Native,Native,3,70,20,10,17.5070440387465,tree_flag_2,"white discolouration on bark, indicative of poor health? ",11/1/2023 8:17:54 PM,chnevi@flemingcollege.ca_Fleming,11/1/2023 8:17:54 PM,chnevi@flemingcollege.ca_Fleming,-79.553125045645,43.1868141371672
